id_corso,materia,data,ora_inizio,ora_fine,luogo,compenso_orario,stato,fatturato,mese_fatturato,cliente
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-04-10,11:10,12:10,Parabita,30.0,Pianificato,0,,
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-04-14,08:10,11:10,Parabita,30.0,Pianificato,0,,
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-04-28,11:10,12:10,Parabita,30.0,Pianificato,0,,
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-04-29,08:10,11:10,Parabita,30.0,Pianificato,0,,
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-04-30,11:10,12:10,Parabita,30.0,Pianificato,0,,
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-05-05,08:10,11:10,Parabita,30.0,Pianificato,0,,
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-03-12,08:10,13:10,Parabita,30.0,Completato,0,,
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-03-13,08:10,10:10,Parabita,30.0,Completato,0,,
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-03-25,11:10,12:10,Parabita,30.0,Pianificato,0,,
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-03-27,11:10,12:10,Parabita,30.0,Pianificato,0,,
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-04-08,08:10,11:10,Parabita,30.0,Pianificato,0,,
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-04-09,11:10,12:10,Parabita,30.0,Pianificato,0,,
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-04-10,08:10,11:10,Parabita,30.0,Pianificato,0,,
