id_corso;materia;data;ora_inizio;ora_fine;luogo;compenso_orario;stato;fatturato;mese_fatturato;ore_fatturate;cliente
Garanzia Giovani;Garanzia Giovani;04/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;05/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;07/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;10/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;11/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;12/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;13/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;14/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;17/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;19/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;20/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;21/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;24/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;25/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;26/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;27/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;28/02/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;01/03/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;03/03/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;04/03/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;05/03/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;06/03/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;07/03/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;08/03/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;09/03/2025;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Garanzia Giovani;Garanzia Giovani;11/03/2025;08:00;11:00;Lecce;20.0;Completato;0;;0.0;forumlab
5064 GOL;5064 GOL;29/01/2025;14:30;20:30;Lecce;30.0;Completato;0;;0.0;forumlab
5064 GOL;5064 GOL;01/02/2025;14:30;20:30;Lecce;30.0;Completato;0;;0.0;forumlab
5064 GOL;5064 GOL;03/02/2025;14:30;20:30;Lecce;30.0;Completato;0;;0.0;forumlab
5064 GOL;5064 GOL;04/02/2025;14:30;20:30;Lecce;30.0;Completato;0;;0.0;forumlab
5064 GOL;5064 GOL;05/02/2025;14:30;20:30;Lecce;30.0;Completato;0;;0.0;forumlab
