id_corso,materia,data,ora_inizio,ora_fine,luogo,compenso_orario,stato,fatturato,mese_fatturato,cliente
Garanzia Giovani,Garanzia Giovani,2025-02-04,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-05,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-07,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-10,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-11,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-12,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-13,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-14,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-17,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-19,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-20,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-21,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-24,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-25,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-26,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-27,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-28,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-01,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-03,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-04,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-05,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-06,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-07,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-08,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-09,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-11,08:00,11:00,Lecce,20.0,Completato,0,,forumlab
5064 GOL,5064 GOL,2025-01-29,14:30,20:30,Lecce,30.0,Completato,0,,forumlab
5064 GOL,5064 GOL,2025-02-01,14:30,20:30,Lecce,30.0,Completato,0,,forumlab
5064 GOL,5064 GOL,2025-02-03,14:30,20:30,Lecce,30.0,Completato,0,,forumlab
5064 GOL,5064 GOL,2025-02-04,14:30,20:30,Lecce,30.0,Completato,0,,forumlab
5064 GOL,5064 GOL,2025-02-05,14:30,20:30,Lecce,30.0,Completato,0,,forumlab
5064 GOL,5064 GOL,2025-02-26,14:30,20:30,Lecce,30.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-05,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
